Name  BindingEnergy(kcal/mol)
Ag_19.37  11.687
Ag_19.38  11.41
Ag_19.39  10.3971
Ag_19.42  8.49
Ag_19.43  15.24
Ag_19.44  14.11
Ag_19.45  10.23
Ag_19.46  9.12
Ag_19.47  7.71
Ag_19.48  8.66
Ag_19.49  10.36
Ag_20.32  18.51
Ag_20.33  13.95
Ag_20.37  15.3875
Ag_20.39  12.2592
Ag_20.41  12.4237
Ag_20.42  9.81
Ag_20.43  18.40
Ag_20.44  12.93
Ag_20.46  14.47
Ag_20.47  5.68
Ag_20.48  15.27
Ag_20.49  13.40
Ag_21.32  15.22
Ag_21.33  17.17
Ag_21.34  12.92
Ag_21.35  17.54
Ag_21.38  13.56
Ag_2.14  13.41
Ag_21.42  13.25
Ag_21.43  16.31
Ag_21.44  17.51
Ag_21.47  12.73
Ag_21.48  13.40
Ag_21.49  17.44
Ag_2.15  13.62
Ag_2.2  10.65
Ag_22.22  48.10
Ag_22.23  61.49
Ag_22.24  15.79
Ag_22.27  11.23
Ag_22.30  25.66
Ag_22.31  31.63
Ag_22.46  29.03
Ag_22.55  27.04
Ag_22.67  33.01
Ag_22.71  30.00
Ag_2.32  13.97
Ag_23.26  35.84
Ag_23.27  22.25
Ag_23.28  29.67
Ag_2.33  11.68
Ag_23.30  33.07
Ag_23.31  17.60
Ag_2.34  9.89
Ag_2.35  15.36
Ag_23.53  25.76
Ag_23.60  27.46
Ag_23.69  24.20
Ag_23.71  37.46
Ag_2.38  12.41
Ag_2.41  11.6028
Ag_2.42  9.08
Ag_2.43  14.85
Ag_24.32  16.25
Ag_24.33  14.44
Ag_24.34  12.98
Ag_24.35  15.44
Ag_24.39  19.2281
Ag_2.44  13.87
Ag_24.41  17.9036
Ag_24.42  8.77
Ag_24.43  23.99
Ag_24.44  16.21
Ag_24.46  18.56
Ag_24.49  11.28
Ag_2.45  9.77
Ag_2.46  11.54
Ag_2.47  9.89
Ag_24.70  14.6595
Ag_2.48  8.77
Ag_2.49  9.86
Ag_2.50  17.67
Ag_25.32  13.93
Ag_25.33  14.62
Ag_25.34  12.79
Ag_25.35  17.68
Ag_25.38  14.91
Ag_25.40  11.70
Ag_25.42  12.76
Ag_25.43  14.02
Ag_25.44  13.55
Ag_25.46  10.83
Ag_25.47  16.46
Ag_25.49  13.68
Ag_2.58  17.69
Ag_2.6  10.95
Ag_2.61  17.86
Ag_26.30  7.18
Ag_26.32  9.72
Ag_26.33  10.86
Ag_26.35  13.34
Ag_26.38  4.24
Ag_26.43  10.31
Ag_26.44  10.14
Ag_26.46  9.02
Ag_26.47  9.81
Ag_26.48  9.46
Ag_26.49  15.10
Ag_26.70  12.5468
Ag_2.68  18.45
Ag_2.70  13.7134
Ag_2.71  22.16
Ag_27.32  14.70
Ag_27.33  11.76
Ag_27.34  9.51
Ag_27.35  15.07
Ag_27.36  10.88
Ag_27.38  14.96
Ag_27.39  12.42
Ag_27.41  10.1559
Ag_27.42  12.01
Ag_27.43  10.14
Ag_27.44  13.60
Ag_27.45  12.40
Ag_27.46  12.44
Ag_27.47  11.24
Ag_27.48  8.00
Ag_27.49  8.58
Ag_28.38  21.9704
Ag_28.41  17.5148
Ag_28.43  18.51
Ag_28.44  23.77
Ag_28.49  -41.22
Ag_28.68  30.0606
Ag_28.70  26.302
Ag_2.9  12.52
Ag_29.30  18.35
Ag_29.32  15.69
Ag_29.38  14.7478
Ag_29.39  7.80664
Ag_29.40  5.49548
Ag_29.41  14.462
Ag_29.43  16.44
Ag_29.44  13.71
Ag_29.48  10.7258
Ag_29.49  10.59
Ag_29.70  8.55809
Ag_30.30  30.46
Ag_30.35  24.83
Ag_30.37  21.67
Ag_30.38  19.6344
Ag_30.49  16.90
Ag_30.68  22.8472
Ag_30.70  35.2173
Ag_30.71  23.77
Ag_31.41  18.2913
Ag_31.43  13.53
Ag_31.44  12.74
Ag_31.49  11.92
Ag_3.17  12.40
Ag_31.71  25.69
Ag_3.18  21.24
Ag_3.22  20.74
Ag_32.32  16.15
Ag_32.34  12.2446
Ag_32.37  13.4913
Ag_32.38  15.35
Ag_32.39  13.0717
Ag_32.40  9.07338
Ag_32.42  11.3321
Ag_32.43  17.8245
Ag_32.44  16.5472
Ag_32.47  13.6956
Ag_32.48  12.6028
Ag_32.49  13.9239
Ag_32.58  19.67
Ag_32.61  20.18
Ag_32.65  18.47
Ag_32.68  20.73
Ag_3.3  16.40
Ag_3.30  13.88
Ag_3.31  8.39
Ag_33.35  12.2005
Ag_33.38  13.3152
Ag_33.39  9.61119
Ag_33.40  12.8821
Ag_33.41  12.5329
Ag_33.42  9.79584
Ag_33.43  16.6961
Ag_33.44  15.4143
Ag_33.47  12.6253
Ag_33.48  10.6655
Ag_33.63  17.59
Ag_33.67  21.56
Ag_3.38  10.926
Ag_3.39  11.1204
Ag_3.4  26.24
Ag_3.41  8.2418
Ag_34.34  15.6707
Ag_34.35  10.4339
Ag_34.37  10.94
Ag_34.38  16.3439
Ag_34.39  10.5527
Ag_34.40  7.57854
Ag_34.41  11.6445
Ag_34.42  8.31064
Ag_34.43  13.8843
Ag_34.44  18.2499
Ag_34.45  18.4689
Ag_34.46  9.19748
Ag_34.47  7.34266
Ag_34.48  14.1256
Ag_34.51  21.33
Ag_34.57  17.7897
Ag_34.61  15.91
Ag_34.63  17.22
Ag_3.47  5.53042
Ag_3.48  12.0809
Ag_3.49  9.39739
Ag_35.39  15.6291
Ag_35.40  11.0863
Ag_35.48  16.0672
Ag_35.63  18.99
Ag_35.67  22.62
Ag_35.70  17.90
Ag_3.6  10.99
Ag_36.38  11.4627
Ag_36.41  9.17488
Ag_36.48  9.1923
Ag_36.49  8.37427
Ag_36.50  14.70
Ag_36.51  15.66
Ag_36.52  16.21
Ag_36.53  13.34
Ag_36.54  20.23
Ag_36.55  14.29
Ag_36.56  14.11
Ag_36.57  14.15
Ag_36.58  14.04
Ag_36.59  15.19
Ag_36.60  14.28
Ag_36.61  12.84
Ag_36.62  17.16
Ag_36.63  13.31
Ag_36.64  11.69
Ag_36.65  11.57
Ag_36.68  16.07
Ag_36.69  12.58
Ag_36.70  13.42
Ag_3.71  23.03
Ag_37.37  11.599
Ag_37.39  12.0836
Ag_37.40  9.55507
Ag_37.43  14.5869
Ag_37.44  13.3464
Ag_37.48  10.388
Ag_37.49  10.85
Ag_37.50  16.84
Ag_37.51  13.86
Ag_37.52  18.37
Ag_37.54  20.15
Ag_37.55  17.62
Ag_37.56  17.73
Ag_37.58  18.77
Ag_37.66  15.08
Ag_37.69  18.12
Ag_3.8  24.11
Ag_38.38  14.99
Ag_38.39  13.5965
Ag_38.40  8.92686
Ag_38.41  11.2048
Ag_38.42  9.91727
Ag_38.43  16.3176
Ag_38.44  15.6555
Ag_38.45  13.2809
Ag_38.46  10.5409
Ag_38.47  13.5375
Ag_38.48  10.7039
Ag_38.49  12.1754
Ag_38.57  18.73
Ag_38.63  17.38
Ag_38.64  17.21
Ag_38.65  17.06
Ag_39.39  7.15756
Ag_39.40  9.74359
Ag_39.41  10.122
Ag_39.42  6.94287
Ag_39.43  13.3397
Ag_39.44  12.0455
Ag_39.46  9.05037
Ag_39.47  11.9403
Ag_39.48  6.88048
Ag_39.49  8.48764
Ag_39.51  18.10
Ag_39.53  17.61
Ag_39.54  16.98
Ag_39.55  17.79
Ag_39.57  17.80
Ag_39.58  17.52
Ag_39.60  17.39
Ag_39.61  17.73
Ag_39.62  17.63
Ag_39.64  16.54
Ag_39.65  14.85
Ag_39.66  17.2387
Ag_39.68  18.35
Ag_39.69  16.15
Ag_40.40  7.04128
Ag_40.41  11.8679
Ag_40.42  6.43877
Ag_40.43  10.5463
Ag_40.44  11.3405
Ag_40.45  15.4546
Ag_40.46  10.1209
Ag_40.48  12.2662
Ag_40.49  9.47711
Ag_40.50  17.62
Ag_40.51  19.58
Ag_40.54  14.88
Ag_40.56  15.03
Ag_40.57  18.39
Ag_40.58  13.98
Ag_40.60  13.61
Ag_40.61  16.69
Ag_40.62  17.25
Ag_40.64  10.74
Ag_40.65  19.93
Ag_40.69  13.64
Ag_41.43  13.84
Ag_41.45  10.5124
Ag_41.46  9.79534
Ag_41.47  11.87
Ag_41.48  8.76026
Ag_41.50  17.0111
Ag_41.52  16.9595
Ag_41.54  12.20
Ag_41.55  17.6662
Ag_41.56  17.34
Ag_41.58  18.1302
Ag_41.59  16.8526
Ag_4.16  36.10
Ag_41.60  18.151
Ag_41.61  18.0685
Ag_41.63  16.11
Ag_41.64  16.5415
Ag_4.18  34.00
Ag_4.22  36.49
Ag_42.44  11.1458
Ag_42.47  10.684
Ag_42.48  5.71667
Ag_42.49  6.8243
Ag_42.57  16.42
Ag_42.63  16.49
Ag_42.64  15.18
Ag_42.65  14.99
Ag_42.67  22.08
Ag_42.70  16.0671
Ag_42.71  24.1736
Ag_4.30  38.84
Ag_43.45  16.84
Ag_43.46  15.1685
Ag_43.48  13.51
Ag_43.49  14.82
Ag_4.35  30.27
Ag_4.37  31.1925
Ag_44.46  11.33
Ag_44.47  15.88
Ag_44.48  12.33
Ag_44.49  15.35
Ag_45.48  10.5788
Ag_45.49  10.9224
Ag_45.50  14.91
Ag_45.51  17.20
Ag_45.52  15.32
Ag_45.53  14.23
Ag_45.55  15.41
Ag_45.56  15.46
Ag_45.57  16.50
Ag_45.58  14.64
Ag_45.59  14.58
Ag_45.60  16.60
Ag_45.61  16.67
Ag_45.62  15.98
Ag_45.63  15.89
Ag_45.64  16.01
Ag_45.65  18.46
Ag_45.68  16.99
Ag_45.69  18.13
Ag_46.48  7.21822
Ag_46.49  8.40103
Ag_46.54  18.6045
Ag_46.56  17.9388
Ag_46.63  18.36
Ag_46.64  19.39
Ag_46.65  17.57
Ag_46.69  16.9688
Ag_4.71  36.31
Ag_47.48  8.95236
Ag_47.52  18.43
Ag_47.53  16.77
Ag_47.57  13.56
Ag_47.58  13.56
Ag_47.59  12.57
Ag_47.60  11.12
Ag_47.62  14.31
Ag_47.63  14.78
Ag_47.65  15.73
Ag_47.66  18.0519
Ag_47.68  18.16
Ag_4.8  38.77
Ag_48.48  9.45022
Ag_48.49  10.7524
Ag_48.57  15.78
Ag_48.65  14.42
Ag_48.68  16.21
Ag_49.49  11.2325
Ag_49.53  18.1446
Ag_49.56  18.3277
Ag_49.59  19.3928
Ag_49.61  18.9108
Ag_49.62  19.2952
Ag_49.66  17.774
Ag_50.50  28.31
Ag_50.58  28.83
Ag_50.61  29.07
Ag_50.68  30.70
Ag_50.71  35.46
Ag_5.16  28.60
Ag_5.18  21.24
Ag_5.22  25.30
Ag_5.32  18.32
Ag_5.33  17.41
Ag_5.34  13.62
Ag_5.35  19.10
Ag_53.70  26.8305
Ag_5.38  19.60
Ag_5.41  11.3008
Ag_5.42  13.11
Ag_5.43  20.49
Ag_5.44  18.94
Ag_5.45  13.97
Ag_5.46  14.12
Ag_5.47  16.87
Ag_54.70  25.1453
Ag_5.48  15.17
Ag_5.49  13.72
Ag_55.70  27.0661
Ag_5.70  16.5078
Ag_58.58  27.25
Ag_58.61  28.74
Ag_58.68  29.99
Ag_58.70  25.6173
Ag_58.71  35.38
Ag_60.70  25.3264
Ag_6.14  19.39
Ag_6.15  29.73
Ag_61.61  26.69
Ag_61.68  29.60
Ag_61.71  34.38
Ag_6.18  17.99
Ag_6.22  23.34
Ag_6.30  25.85
Ag_6.32  16.98
Ag_63.70  24.519
Ag_6.38  14.88
Ag_6.43  19.34
Ag_6.44  17.57
Ag_6.49  10.11
Ag_6.50  18.12
Ag_6.58  17.58
Ag_6.61  17.14
Ag_66.70  28.5392
Ag_6.68  21.00
Ag_6.70  10.4883
Ag_6.71  23.34
Ag_6.8  20.13
Ag_68.68  34.27
Ag_68.70  27.39
Ag_68.71  37.95
Ag_6.9  8.16
Ag_70.71  32.3945
Ag_71.71  39.98
Ag_7.38  11.8013
Ag_7.41  18.7929
Ag_7.48  10.5841
Ag_7.50  16.99
Ag_7.51  16.69
Ag_7.52  19.64
Ag_7.53  15.35
Ag_7.54  16.06
Ag_7.55  18.09
Ag_7.56  18.83
Ag_7.58  20.24
Ag_7.59  16.87
Ag_7.60  17.53
Ag_7.61  15.17
Ag_7.62  17.22
Ag_7.63  16.91
Ag_7.64  18.39
Ag_7.66  13.86
Ag_7.68  16.17
Ag_7.69  14.26
Ag_7.70  11.0102
Ag_8.14  14.44
Ag_8.15  29.01
Ag_8.17  24.58
Ag_8.20  30.54
Ag_8.25  28.34
Ag_8.29  13.77
Ag_8.30  25.21
Ag_8.43  21.74
Ag_8.62  25.12
Ag_8.65  37.78
Ag_8.68  28.41
Ag_8.71  22.83
Ag_8.8  57.92
Ag_8.9  26.74
Ag_9.14  14.72
Ag_9.15  15.70
Ag_9.16  20.41
Ag_9.18  18.13
Ag_9.32  15.30
Ag_9.33  10.67
Ag_9.34  12.81
Ag_9.35  18.40
Ag_9.36  13.04
Ag_9.38  12.45
Ag_9.42  9.31
Ag_9.43  15.23
Ag_9.44  15.00
Ag_9.45  15.69
Ag_9.46  14.75
Ag_9.47  4.71
Ag_9.48  10.91
Ag_9.49  14.21
Ag_9.50  19.28
Ag_9.58  19.00
Ag_9.61  19.51
Ag_9.68  19.38
Ag_9.70  15.1116
Ag_9.9  9.44
Au_0.1  9.79
Au_0.10  4.32
Au_0.11  6.35
Au_0.12  4.27
Au_0.13  6.19
Au_0.14  6.23
Au_0.17  4.64
Au_0.19  3.02
Au_0.2  4.94
Au_0.20  0.69
Au_0.21  9.96
Au_0.25  7.06
Au_0.26  8.32
Au_0.27  7.62
Au_0.29  3.77
Au_0.30  18.89
Au_0.32  8.19
Au_0.34  6.42
Au_0.35  11.62
Au_0.37  7.56447
Au_0.38  6.61556
Au_0.48  7.28325
Au_0.49  6.70
Au_0.50  11.98
Au_0.51  12.85
Au_0.52  11.58
Au_0.53  11.71
Au_0.54  13.05
Au_0.55  12.04
Au_0.56  11.97
Au_0.57  12.18
Au_0.58  12.04
Au_0.59  12.07
Au_0.60  12.91
Au_0.61  11.52
Au_0.62  11.72
Au_0.63  11.82
Au_0.64  11.17
Au_0.65  11.33
Au_0.66  14.10
Au_0.68  12.40
Au_0.69  11.59
Au_0.70  8.56
Au_0.71  15.64
Au_0.9  6.66
Au_10.10  -0.59
Au_10.11  -2.56
Au_10.13  2.31
Au_10.14  0.82
Au_10.17  -1.04
Au_10.19  -0.68
Au_10.21  3.01
Au_10.24  0.87
Au_10.25  1.21
Au_10.26  -0.75
Au_10.27  -0.32
Au_10.29  -3.89275
Au_10.32  0.56
Au_10.33  -1.36
Au_10.34  -0.03
Au_10.35  5.35
Au_10.36  -3.30
Au_10.37  1.14437
Au_10.38  -1.33697
Au_10.39  -1.92746
Au_10.40  -1.38
Au_10.42  -5.33965
Au_10.43  0.88
Au_10.44  -0.35
Au_10.45  1.69
Au_10.46  1.52
Au_10.47  -2.70
Au_10.48  -1.66
Au_10.49  -0.66
Au_10.51  2.20
Au_10.52  1.83
Au_10.53  1.20
Au_10.55  1.61
Au_10.57  0.75
Au_10.58  0.88
Au_10.60  -3.19579
Au_10.61  0.52
Au_10.62  0.85
Au_10.63  1.92
Au_10.64  -0.53
Au_10.65  -0.11
Au_10.68  0.42
Au_10.69  1.56
Au_10.70  0.83
Au_10.71  7.27
Au_11.11  -1.42
Au_11.14  1.97
Au_11.15  4.86
Au_11.17  0.33
Au_11.19  -0.52
Au_11.21  2.85
Au_11.23  17.59
Au_11.24  5.07
Au_11.25  1.31
Au_11.26  5.55
Au_11.27  2.25
Au_11.32  0.55
Au_11.33  1.92
Au_11.34  -0.12
Au_11.35  4.71
Au_11.36  -2.61
Au_11.39  -1.07176
Au_11.40  -1.47096
Au_11.42  -3.65
Au_11.43  1.49
Au_11.44  1.71
Au_11.45  2.27
Au_11.47  4.08
Au_11.48  0.04
Au_11.49  0.45
Au_1.15  10.56
Au_11.57  2.46
Au_11.58  3.28
Au_11.62  2.84
Au_11.63  2.72
Au_11.64  2.27
Au_11.67  1.92
Au_1.17  1.94
Au_11.70  1.17
Au_11.71  8.80
Au_1.19  2.386
Au_1.2  2.50
Au_1.20  1.31
Au_1.21  5.11
Au_12.15  5.86
Au_12.17  2.95
Au_12.19  -1.89
Au_1.22  9.30
Au_12.20  0.39
Au_12.22  16.73
Au_12.23  14.42
Au_12.25  1.86
Au_12.29  -1.87
Au_12.30  14.59
Au_12.32  0.50
Au_12.33  1.05741
Au_12.34  -0.80
Au_12.36  0.86
Au_12.38  -0.66
Au_12.39  -1.10
Au_1.24  1.84
Au_12.40  -2.55
Au_12.42  -3.64
Au_12.43  2.53
Au_12.44  1.76
Au_12.45  0.22
Au_12.46  -0.92
Au_12.47  -1.56
Au_12.48  -0.75
Au_12.65  1.36
Au_12.67  3.06
Au_12.70  2.09827
Au_1.28  8.60
Au_1.29  1.65
Au_1.3  3.41
Au_13.15  5.92
Au_13.17  0.09
Au_13.19  -0.67
Au_1.32  5.27
Au_13.20  0.44
Au_13.21  4.59
Au_13.25  1.04
Au_13.26  4.06
Au_13.27  2.67655
Au_13.32  0.05
Au_13.33  0.42
Au_13.34  -0.61
Au_13.35  5.21
Au_13.36  -1.25
Au_13.37  0.72
Au_13.38  -1.29
Au_13.39  -1.39975
Au_1.34  4.41
Au_13.40  -3.55405
Au_13.42  -4.83
Au_13.43  0.99
Au_13.44  0.35
Au_13.45  0.27
Au_13.46  5.06
Au_13.47  0.38
Au_13.48  -1.96
Au_1.35  9.36
Au_13.67  0.82
Au_1.4  19.45
Au_1.40  -0.10
Au_14.14  1.76
Au_14.15  8.21
Au_14.17  -0.87
Au_14.19  -0.83
Au_1.42  2.12
Au_14.20  -1.77
Au_14.21  3.68
Au_14.22  23.42
Au_14.23  16.50
Au_14.24  -0.71
Au_14.25  1.39
Au_14.26  0.99
Au_14.27  -0.516641
Au_14.29  -1.85219
Au_1.43  6.70
Au_14.32  1.25
Au_14.33  -0.65
Au_14.34  -1.27
Au_14.35  5.45
Au_14.36  0.52
Au_14.38  -0.22
Au_1.44  6.00
Au_14.42  -4.75
Au_14.43  2.02
Au_14.44  1.58
Au_14.45  2.62
Au_14.46  1.14
Au_14.48  -2.35
Au_14.49  0.09
Au_1.45  6.65
Au_14.50  2.14
Au_14.53  2.22
Au_14.58  3.06
Au_1.46  6.00
Au_14.61  2.83
Au_14.63  2.03
Au_14.67  2.11
Au_14.68  0.43
Au_14.69  2.59
Au_14.70  2.04332
Au_14.71  8.68
Au_1.5  3.35
Au_15.15  6.81
Au_15.19  7.16
Au_15.21  10.70
Au_15.22  8.84
Au_15.24  11.45
Au_15.26  9.34
Au_15.27  -0.90
Au_15.32  1.13
Au_15.34  -0.25
Au_15.36  7.41123
Au_15.38  -5.40
Au_15.40  1.15513
Au_15.42  -8.12297
Au_15.44  6.58
Au_15.46  5.23
Au_15.47  9.14
Au_15.49  2.33
Au_15.50  6.53
Au_15.51  10.05
Au_15.52  1.79
Au_15.53  10.08
Au_15.55  2.92
Au_15.56  2.81
Au_15.57  6.44
Au_15.58  0.66
Au_15.60  5.70
Au_15.61  3.26
Au_15.62  6.02
Au_15.63  7.45
Au_15.64  2.03
Au_15.65  5.91
Au_15.66  -1.01
Au_15.68  9.24
Au_15.69  -0.41
Au_15.70  9.33
Au_15.71  13.70
Au_1.6  1.63
Au_1.64  8.58
Au_16.42  1.63469
Au_16.47  11.7257
Au_1.65  8.21
Au_16.57  9.72
Au_1.67  11.51
Au_1.68  10.07
Au_1.70  7.53
Au_17.17  -2.19278
Au_17.19  -1.91
Au_17.21  1.63
Au_17.26  -0.15
Au_17.27  -0.17
Au_17.29  -1.58109
Au_17.33  0.958715
Au_17.34  -1.78625
Au_17.36  -7.84
Au_17.38  -1.10422
Au_17.39  -2.07851
Au_17.40  -3.8676
Au_17.42  -4.38789
Au_17.43  1.09123
Au_17.44  0.508189
Au_17.45  0.330277
Au_17.46  -1.20071
Au_17.47  -0.638798
Au_17.48  -2.59242
Au_17.49  -1.76907
Au_17.50  1.58
Au_17.51  2.18
Au_17.52  1.56
Au_17.53  1.50
Au_17.54  2.27
Au_17.55  1.57
Au_17.56  1.48
Au_17.57  1.85
Au_17.58  1.61
Au_17.59  1.60
Au_17.60  -4.28
Au_17.61  1.68
Au_17.62  1.61
Au_17.63  1.61
Au_17.64  0.84
Au_17.65  0.93
Au_17.66  2.83
Au_17.68  1.51
Au_17.69  1.38
Au_17.70  0.87
Au_17.71  6.31
Au_18.27  16.45
Au_18.50  15.71
Au_18.51  15.43
Au_18.52  15.53
Au_18.53  14.04
Au_18.54  12.96
Au_18.55  13.93
Au_18.56  16.09
Au_18.57  12.71
Au_18.58  16.23
Au_18.59  14.12
Au_18.60  18.69
Au_18.61  15.30
Au_18.62  16.47
Au_18.63  14.09
Au_18.64  13.78
Au_18.65  13.86
Au_18.66  19.05
Au_18.68  16.16
Au_18.69  20.92
Au_18.70  18.23
Au_19.19  -3.57
Au_19.20  -1.22
Au_19.21  -0.55
Au_19.22  7.41
Au_19.24  1.95
Au_19.25  -2.50
Au_19.26  1.53
Au_19.27  -2.26
Au_19.29  -5.7314
Au_19.32  -1.42
Au_19.33  -2.62
Au_19.34  -2.77
Au_19.35  1.95
Au_19.36  -8.81306
Au_19.38  -2.78647
Au_19.39  -3.71393
Au_19.40  -7.03575
Au_19.41  -1.33083
Au_19.43  0.08
Au_19.44  -0.57
Au_19.45  -1.91
Au_19.46  -7.09
Au_19.47  -4.58
Au_19.48  -6.216
Au_19.49  -0.32
Au_19.50  1.28
Au_19.51  0.42
Au_19.52  -0.59
Au_19.53  1.15
Au_19.55  -0.51
Au_19.56  -0.48
Au_19.57  0.87
Au_19.58  0.98
Au_19.59  1.27
Au_19.61  0.76
Au_19.62  -0.35
Au_19.63  -0.14
Au_19.64  -1.34
Au_19.65  -0.13
Au_19.68  0.09
Au_19.69  -0.41
Au_19.70  -1.17
Au_19.71  6.34
Au_20.24  -1.06524
Au_20.25  0.75
Au_20.26  -0.86
Au_20.27  -1.28
Au_20.29  -0.971265
Au_20.33  0.710058
Au_20.34  -2.18607
Au_20.38  -2.16248
Au_20.39  -2.35273
Au_20.40  -4.81012
Au_20.42  -5.06246
Au_20.44  -1.10133
Au_20.45  -1.44015
Au_20.47  -3.49318
Au_20.48  -4.55814
Au_20.49  -1.21881
Au_20.50  4.86
Au_20.51  3.60
Au_20.52  0.33
Au_20.53  0.81
Au_20.54  3.93
Au_20.55  4.83
Au_20.56  0.16
Au_20.57  -0.05
Au_20.58  3.71
Au_20.59  0.96
Au_20.60  -0.71
Au_20.62  2.01
Au_20.63  2.11
Au_20.64  -0.89
Au_20.65  2.33
Au_20.66  2.08
Au_20.68  1.56
Au_20.69  2.50
Au_2.10  -1.23
Au_2.11  -0.41
Au_2.12  -0.99
Au_21.21  6.55
Au_21.24  5.02
Au_21.25  5.40
Au_21.26  5.43
Au_21.29  1.61355
Au_2.13  -1.22
Au_21.32  1.59
Au_21.33  4.17
Au_21.34  0.10
Au_21.35  6.23
Au_21.39  -3.29994
Au_2.14  -0.74
Au_21.42  -0.41
Au_21.43  2.75
Au_21.44  3.49
Au_21.45  6.15
Au_21.46  2.50
Au_21.47  3.64
Au_21.48  -0.02
Au_21.49  4.07
Au_2.15  0.71
Au_21.52  5.08
Au_21.53  3.80
Au_21.57  3.79
Au_21.58  6.07
Au_21.62  6.86
Au_21.63  7.00
Au_21.64  5.40
Au_21.65  4.21
Au_21.67  3.49
Au_21.68  4.90
Au_2.17  -3.10331
Au_21.70  4.10
Au_21.71  10.79
Au_2.19  -3.83
Au_2.2  -2.42
Au_2.20  -3.62788
Au_2.21  0.00
Au_2.22  0.80
Au_22.25  13.89
Au_22.26  0.93
Au_22.32  6.19
Au_2.24  -0.646918
Au_22.46  12.80
Au_22.49  5.50
Au_2.25  0.32
Au_22.50  11.84
Au_22.51  12.49
Au_22.52  0.03
Au_22.53  3.99
Au_22.54  9.40
Au_22.56  6.29
Au_22.58  16.06
Au_22.59  -0.07
Au_2.26  0.52
Au_22.60  13.84
